SalePrice,GrLivArea,Neighborhood
91500,1218,BrDale
115000,912,NAmes
134000,1211,Sawyer
143000,1846,NAmes
137900,2136,NAmes
184000,1490,Gilbert
145000,1138,NAmes
214000,1933,Somerst
147000,912,NAmes
367294,1702,NridgHt
127000,1507,NAmes
190000,2620,Sawyer
132500,1190,NAmes
101800,1224,NAmes
142000,1188,NAmes
130000,1964,SWISU
138887,1784,Crawfor
175500,1626,NridgHt
195000,1948,CollgCr
142500,1141,SawyerW
265900,1484,Timber
224900,1768,CollgCr
248328,1689,Somerst
170000,1173,NWAmes
465000,2076,NridgHt
230000,1517,Crawfor
178000,1868,NWAmes
186500,1553,Somerst
169900,1034,Mitchel
129500,2058,OldTown
119000,988,NAmes
244000,2110,NAmes
171750,1405,NridgHt
130000,874,Mitchel
294000,2167,Veenker
165400,1656,Edwards
127500,1367,BrkSide
301500,1987,NoRidge
99900,864,Edwards
190000,1166,Gilbert
151000,1054,NAmes
181000,1675,Gilbert
128900,1050,NAmes
161500,1788,ClearCr
180500,1824,BrkSide
181000,1337,NAmes
183900,1452,Somerst
122000,1889,OldTown
378500,2018,Timber
381000,3447,Crawfor
144000,1524,NAmes
260000,1524,ClearCr
185750,1489,NWAmes
137000,935,Sawyer
177000,1357,Edwards
139000,1250,Crawfor
137000,1920,NAmes
162000,1395,NWAmes
197900,1724,NWAmes
237000,2031,CollgCr
68400,1128,IDOTRR
227000,1573,CollgCr
180000,1339,Timber
150500,1040,CollgCr
139000,1824,Mitchel
169000,2447,SWISU
132500,1412,BrkSide
143000,1328,NWAmes
190000,1582,ClearCr
278000,1659,StoneBr
281000,1970,NridgHt
180500,1152,NAmes
119500,1302,BrDale
107500,2372,OldTown
162900,1664,NWAmes
115000,864,Edwards
138500,1052,NAmes
155000,1128,NAmes
140000,1072,Edwards
160000,5642,Edwards
154000,1246,NAmes
225000,1983,Gilbert
177500,1494,Crawfor
290000,2526,NoRidge
232000,1616,Somerst
130000,1708,Edwards
325000,1652,NridgHt
202500,1368,NridgHt
138000,990,CollgCr
147000,1122,OldTown
179200,1294,SawyerW
335000,1902,Crawfor
203000,1274,CollgCr
302000,2810,NoRidge
333168,2599,NoRidge
119000,948,Edwards
206900,2112,NAmes
295493,1630,CollgCr
208900,1352,Somerst
275000,1787,CollgCr
111000,948,Edwards
156500,1478,NAmes
72500,720,BrkSide
190000,1923,NoRidge
82500,708,BrkSide
147000,1795,Somerst
55000,796,IDOTRR
79000,774,Edwards
130500,816,Mitchel
256000,2792,OldTown
176500,1632,Gilbert
227000,1588,Somerst
132500,954,CollgCr
100000,816,Edwards
125500,1360,IDOTRR
125000,1365,BrDale
167900,1334,NWAmes
135000,1656,NWAmes
52500,693,OldTown
200000,1861,CollgCr
128500,864,CollgCr
123000,872,NAmes
155000,1114,SawyerW
228500,2169,CollgCr
177000,1913,Crawfor
155835,1456,CollgCr
108500,960,OldTown
262500,2156,NWAmes
283463,1776,Timber
215000,1494,SawyerW
122000,2358,OldTown
200000,2634,NAmes
171000,1716,NAmes
134900,1176,BrkSide
410000,3238,NoRidge
235000,1865,CollgCr
170000,1920,NWAmes
110000,892,NAmes
149900,1078,NAmes
177500,1573,Somerst
315000,1980,NridgHt
189000,2601,SWISU
260000,1530,StoneBr
104900,1738,NAmes
156932,1412,Gilbert
144152,1200,Somerst
216000,1674,Somerst
193000,1790,CollgCr
127000,1475,MeadowV
144000,848,CollgCr
232000,1668,CollgCr
105000,1374,OldTown
165500,1661,NAmes
274300,2097,CollgCr
466500,2633,NoRidge
250000,1958,Somerst
239000,1571,Timber
91000,790,SWISU
117000,1604,Edwards
83000,987,BrDale
167500,1394,Timber
58500,864,Edwards
237500,2117,NAmes
157000,1762,OldTown
112000,1416,Sawyer
105000,1258,Edwards
125500,1154,IDOTRR
250000,2784,NWAmes
136000,2526,OldTown
377500,1746,Gilbert
131000,1218,BrkSide
235000,1525,CollgCr
124000,1584,NAmes
123000,900,NAmes
163000,1912,OldTown
246578,1500,Blmngtn
281213,2482,Timber
160000,1687,Timber
137500,1513,BrkSide
138000,1904,NAmes
137450,1608,SWISU
120000,1158,BrkSide
193000,1593,Gilbert
193879,1294,CollgCr
282922,1464,Somerst
105000,1214,OldTown
275000,1646,Crawfor
133000,768,CollgCr
112000,833,Mitchel
125500,1363,OldTown
215000,2093,NWAmes
230000,1840,CollgCr
140000,1668,NAmes
90000,1040,NAmes
257000,1844,SawyerW
207000,1848,BrkSide
175900,1569,Blmngtn
122500,2290,OldTown
340000,2450,NoRidge
124000,1144,NAmes
223000,1844,Crawfor
179900,1416,NWAmes
127500,1069,NPkVill
136500,848,CollgCr
274970,2201,Edwards
144000,1344,NAmes
142000,1252,NAmes
271000,2127,NoRidge
140000,1558,NAmes
119000,804,OldTown
182900,1440,NWAmes
192140,1838,Gilbert
143750,958,NPkVill
64500,968,OldTown
186500,1792,Gilbert
160000,1126,Mitchel
174000,1537,NAmes
120500,864,NAmes
394617,1932,NridgHt
149700,1236,OldTown
197000,1725,NWAmes
191000,2555,Crawfor
149300,848,CollgCr
310000,2007,Somerst
121000,952,BrkSide
179600,1422,CollgCr
129000,913,Sawyer
157900,1188,Mitchel
240000,2090,CollgCr
112000,1346,Edwards
92000,630,MeadowV
136000,1792,NAmes
287090,1578,Somerst
145000,1072,Edwards
84500,1140,Mitchel
185000,1221,Somerst
175000,1647,Gilbert
210000,2073,NWAmes
266500,2340,Crawfor
142125,1078,NAmes
147500,1256,Edwards
